rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,100,0,0.0,400357,S000033,VT,,b'Sanders'
2,99,1,0.05615512372851508,412239,W000800,VT,,b'Welch'
3,98,2,0.0720881258375378,412325,M001176,OR,,b'Merkley'
4,97,3,0.08391226097780219,412490,B001277,CT,,b'Blumenthal'
5,96,4,0.08393789830115067,412542,W000817,MA,,b'Warren'
6,95,5,0.0999698366175254,400253,M000133,MA,,b'Markey'
7,94,6,0.10382284180165866,300100,W000779,OR,,b'Wyden'
8,93,7,0.11660379393402333,412598,B001288,NJ,,b'Booker'
9,92,8,0.1338195154138096,456856,P000145,CA,,b'Padilla'
10,91,9,0.13472948074789745,400415,V000128,MD,,b'Van Hollen'
11,90,10,0.14254334722577147,412247,W000802,RI,,b'Whitehouse'
12,89,11,0.15051041512722185,412200,H001042,HI,,b'Hirono'
13,88,12,0.1606779545726435,412533,D000622,IL,,b'Duckworth'
14,87,13,0.1730296696272475,300038,D000563,IL,,b'Durbin'
15,86,14,0.18465797385102095,412742,S001203,MN,,b'Smith'
16,85,15,0.1953198849019685,412194,M001169,CT,,b'Murphy'
17,84,16,0.19733982020374594,456877,F000479,PA,,b'Fetterman'
18,83,17,0.21572412695246546,400050,B000944,OH,,b'Brown'
19,82,18,0.21902561158779357,300081,R000122,RI,,b'Reed'
20,81,19,0.23927622296754356,400013,B001230,WI,,b'Baldwin'
21,80,20,0.24230625553725899,300076,M001111,WA,,b'Murray'
22,79,21,0.24434744266857053,412223,G000555,NY,,b'Gillibrand'
23,78,22,0.24933959056046556,412242,K000367,MN,,b'Klobuchar'
24,77,23,0.25640784938710015,300093,S000770,MI,,b'Stabenow'
25,76,24,0.26256774998299237,412281,H001046,NM,,b'Heinrich'
26,75,25,0.26258648171422044,412293,L000570,NM,,b'Luj\xc3\xa1n'
27,74,26,0.26869982232399137,412507,S001194,HI,,b'Schatz'
28,73,27,0.27035920952650067,400064,C000141,MD,,b'Cardin'
29,72,28,0.2889023779932461,412246,C001070,PA,,b'Casey'
30,71,29,0.31829358317599066,300018,C000127,WA,,b'Cantwell'
31,70,30,0.32222206493499433,412582,K000384,VA,,b'Kaine'
32,69,31,0.33291677329752833,300087,S000148,NY,,b'Schumer'
33,68,32,0.33369863563847607,412681,C001113,NV,,b'Cortez Masto'
34,67,33,0.3555498877103137,412323,S001181,NH,,b'Shaheen'
35,66,34,0.3558344229708738,412545,K000383,ME,,b'King'
36,65,35,0.3807830886351563,412330,B001267,CO,,b'Bennet'
37,64,36,0.41112976597937095,412390,C001088,DE,,b'Coons'
38,63,37,0.41596724662329965,456797,H000273,CO,,b'Hickenlooper'
39,62,38,0.41926529787889477,412321,W000805,VA,,b'Warner'
40,61,39,0.42361565702667564,300019,C000174,DE,,b'Carper'
41,60,40,0.43861655530741794,412715,R000608,NV,,b'Rosen'
42,59,41,0.46513032173673713,456857,O000174,GA,,b'Ossoff'
43,58,42,0.4808955320091409,412244,T000464,MT,,b'Tester'
44,57,43,0.48184939454862236,456794,K000377,AZ,,b'Kelly'
45,56,44,0.4910076497499574,300025,C001035,ME,,b'Collins'
46,55,45,0.5108276562130002,412680,H001076,NH,,b'Hassan'
47,54,46,0.5175410034177224,300075,M001153,AK,,b'Murkowski'
48,53,47,0.5324033602564899,400361,S001150,CA,,b'Schiff'
49,52,48,0.5389257068320826,412305,P000595,MI,,b'Peters'
50,51,49,0.5393705194162491,412509,S001191,AZ,,b'Sinema'
51,50,50,0.5434589271255553,412797,K000394,NJ,,b'Kim'
52,49,51,0.553130359975418,456858,W000790,GA,,b'Warnock'
53,48,52,0.6637885660559526,412492,P000603,KY,,b'Paul'
54,47,53,0.6893852701793967,412391,M001183,WV,,b'Manchin'
55,46,54,0.6938785312945375,412841,R000615,UT,,b'Romney'
56,45,55,0.7020819788924222,300048,G000386,IA,,b'Grassley'
57,44,56,0.7042437014570104,300072,M000355,KY,,b'McConnell'
58,43,57,0.7137653054032992,412428,Y000064,IN,,b'Young'
59,42,58,0.7382753364380498,400040,B001236,AR,,b'Boozman'
60,41,59,0.7483388279018439,400061,C001047,WV,,b'Capito'
61,40,60,0.7489630215126618,400284,M000934,KS,,b'Moran'
62,39,61,0.7644353924105565,412269,C001075,LA,,b'Cassidy'
63,38,62,0.7656923228025133,300047,G000359,SC,,b'Graham'
64,37,63,0.7674880166748422,412665,S001198,AK,,b'Sullivan'
65,36,64,0.7693537435543208,412568,M001190,OK,,b'Mullin'
66,35,65,0.7868324395703591,412668,T000476,NC,,b'Tillis'
67,34,66,0.7935679000810402,412679,K000393,LA,,b'Kennedy'
68,33,67,0.7940923986143935,412669,R000605,SD,,b'Rounds'
69,32,68,0.8013726919639635,412496,J000293,WI,,b'Johnson'
70,31,69,0.8067548865291466,400432,W000437,MS,,b'Wicker'
71,30,70,0.8160077183885625,456876,V000137,OH,,b'Vance'
72,29,71,0.825231643034701,412471,S001184,SC,,b'Scott'
73,28,72,0.8305448311137064,412667,E000295,IA,,b'Ernst'
74,27,73,0.8387458295823472,412556,F000463,NE,,b'Fischer'
75,26,74,0.8409842003310483,300027,C001056,TX,,b'Cornyn'
76,25,75,0.8527763320245998,456796,T000278,AL,,b'Tuberville'
77,24,76,0.8547743648672725,400546,T000250,SD,,b'Thune'
78,23,77,0.8589960740829816,456875,S001227,MO,,b'Schmitt'
79,22,78,0.8620036230404031,412494,H001061,ND,,b'Hoeven'
80,21,79,0.8659191017954849,412840,H001089,MO,,b'Hawley'
81,20,80,0.8735311150234345,412743,H001079,MS,,b'Hyde-Smith'
82,19,81,0.878440345015132,412704,M001198,KS,,b'Marshall'
83,18,82,0.8849223137868533,412508,C001095,AR,,b'Cotton'
84,17,83,0.8849300137191748,412549,D000618,MT,,b'Daines'
85,16,84,0.8860267796032182,412491,R000595,FL,,b'Rubio'
86,15,85,0.890714791244327,300030,C000880,ID,,b'Crapo'
87,14,86,0.8918747537968729,412322,R000584,ID,,b'Risch'
88,13,87,0.9013030496380346,412555,C001096,ND,,b'Cramer'
89,12,88,0.907918236853886,412495,L000577,UT,,b'Lee'
90,11,89,0.9165061478136505,412251,B001261,WY,,b'Barrasso'
91,10,90,0.9172180626117752,412839,B001310,IN,,b'Braun'
92,9,91,0.9297887165031303,456798,H000601,TN,,b'Hagerty'
93,8,92,0.9305437972463436,456874,B001319,AL,,b'Britt'
94,7,93,0.9407769471257897,412294,L000571,WY,,b'Lummis'
95,6,94,0.9429965985544788,456952,R000618,NE,,b'Ricketts'
96,5,95,0.9525290835509944,412573,C001098,TX,,b'Cruz'
97,4,96,0.961569141598222,412712,B001305,NC,,b'Budd'
98,3,97,0.9698604458043617,412464,L000575,OK,,b'Lankford'
99,2,98,0.9804131120418181,400032,B001243,TN,,b'Blackburn'
100,1,99,1.0,412838,S001217,FL,,b'Scott'
